MeanDepth MedianDepth SDDepth IQRDepth MeanTemp MedianTemp SDTemp IQRTemp Class
134.632638889 96.25 80.6381004257 134.5 21.2411458333 27.05 8.02065257846 17.0 U
60.628561501 62.5 28.1001660169 40.0 27.6679986101 28.4 1.67415227757 1.4 T
185.774496178 147.5 124.4558359 249.75 18.8222724114 14.8 8.58095644609 17.9 U
67.0917303683 57.5 54.5443147681 55.5 26.270257123 27.9 4.30549425199 1.975 T
301.913134121 323.5 77.881637363 69.0 11.4168867269 10.35 4.0762042438 0.7 U
79.6646977067 75.5 59.6759954944 50.5 25.9465948575 28.4 5.05935913745 2.225 T
291.47533009 312.0 63.0120518284 28.0 11.1515635858 10.15 3.83243209675 0.35 U
67.8707435719 72.5 24.9284446195 36.5 27.7370743572 28.3 1.27828378665 1.05 T
157.725503822 104.5 105.061661877 205.0 20.5049687283 26.2 8.35365274761 17.8 U
67.7251563586 58.5 49.8082079004 54.25 26.488533704 28.35 4.39025080816 1.45 T
243.885684503 243.5 68.3898984546 40.75 11.9508339124 10.85 4.08560873661 0.2 U
60.8599722029 59.0 38.0037307923 57.0 26.191695622 27.65 3.84863569436 1.85 T
86.7824878388 69.0 51.6123521875 37.0 24.4643849896 27.95 6.53592612035 3.55 TX
30.2178596247 20.0 23.5580832774 22.0 28.3299861015 28.55 0.720685431461 0.05 S
99.1775538568 89.0 34.0422251901 32.75 24.6299166088 27.3 5.01344194462 6.075 V
28.6521890202 20.0 21.9468397241 19.5 28.324113968 28.45 0.76501111435 0.15 S
127.177206393 115.0 67.1578389965 68.5 21.3391591383 21.4 6.44676850072 10.95 V
65.0104239055 68.0 40.0354459317 70.0 26.3128214038 28.25 3.36233800332 3.825 T
110.143849896 113.5 60.909274305 64.5 21.9877692842 21.35 5.86753679197 10.4 V
81.1400277971 86.0 27.048151982 32.5 26.8772063933 28.1 2.44960852196 1.85 T
119.372133426 121.0 54.9967430494 58.5 21.4160528145 20.85 6.57098007441 11.35 V
61.8165392634 71.5 32.9822752994 50.25 27.3330090341 28.1 1.68532934588 1.85 T
121.183113273 52.5 208.553253023 44.0 25.229742877 28.45 7.08085179409 0.95 S
72.3540653231 82.0 30.0081625879 40.75 26.9137595552 27.7 2.15213867494 2.1 T
54.1473245309 54.5 25.9023969473 31.5 28.1994440584 28.5 1.66745084626 0.25 S
55.5684503127 60.0 22.7890972134 21.5 28.3383599722 28.5 0.555134307844 0.15 T
57.3471160528 62.0 21.5849786508 33.75 28.0409659486 28.45 0.981752399732 0.85 T
50.1403752606 50.5 19.2348176494 21.0 28.1558373871 28.4 0.909121396544 0.25 S
44.9127866574 44.0 17.2252946173 26.0 28.467685893 28.6 0.674450536419 0.1 S
54.4305072967 57.5 27.9907230578 48.5 28.1088603197 28.65 1.53971503797 0.15 T
93.6108408617 45.0 99.112502221 59.75 24.3814801946 28.7 7.58847416808 3.675 S
84.3710910354 83.0 47.8337827226 42.25 25.3755385685 27.7 4.88664977712 4.85 T
272.773801251 278.0 77.2680938026 117.25 11.4238359972 10.35 4.03265574005 1.05 U
90.222724114 81.0 57.7005182237 32.0 25.8059763725 27.55 4.71668033542 0.35 T
95.6389854065 77.0 71.0593459603 33.0 24.3376650452 27.3 6.23259597952 0.9 S
51.7685892981 56.5 23.1601059467 37.25 27.1976719944 27.25 0.580604811052 0.6 S
64.5681028492 68.0 27.3831693021 47.5 26.866504517 26.95 0.797812557437 0.55 T
62.8669214732 70.0 24.2451683854 39.0 26.7466643502 26.85 1.09346691854 1.05 S
50.681028492 41.5 30.0205117749 55.5 27.2003822099 28.0 1.5052865585 1.2 T
70.744961779 70.5 18.3014560795 21.5 26.4046907575 26.9 1.46482876338 2.15 T
81.201876303 51.0 70.0609463905 67.0 23.9654621265 27.85 6.58202553085 3.9 T
58.340514246 60.5 23.884620271 32.5 26.7857192495 27.35 1.65573823323 2.4 T
258.280403058 82.5 349.900355226 236.0 19.7147324531 25.7 9.49772192693 17.4 TX
100.276233495 86.5 66.0233283007 28.75 24.1485059069 26.05 4.84524112527 4.05 T
237.297776233 230.0 102.913123299 41.0 12.4134120917 10.8 4.79875701611 0.45 U
79.022237665 67.5 55.9710090027 20.5 25.9525364837 27.5 4.63511862836 0.35 T
302.536831133 311.5 121.400349489 92.0 11.1260250174 10.1 4.24148231716 0.65 U
49.7595552467 18.0 75.7350374938 57.25 26.6054899236 28.5 4.92744872715 0.95 S
237.081306463 218.5 74.726227157 115.0 12.2117442669 10.95 4.51947730792 1.0 U
61.7599027102 51.5 50.4972342962 38.0 26.3812369701 28.35 4.99379624851 0.75 S
275.77171647 251.5 132.762723547 139.75 11.6289437109 10.6 4.44040665412 1.05 U
66.03161918 63.0 41.073780725 39.0 26.4194579569 28.05 4.83091591311 1.225 T
231.615705351 211.0 92.3667550165 149.0 12.1643849896 10.65 4.99568835854 1.5 U
63.043085476 58.0 35.4860309673 21.0 26.7527449618 28.3 4.6437473678 0.1 S
175.297776233 183.0 38.7683391819 43.0 13.0330090341 10.85 5.2280898622 1.15 U
66.3432939541 67.5 37.0188700898 31.0 27.0774843641 28.25 4.08430065117 0.15 S
252.080958999 210.0 139.434036248 130.75 12.4802988186 10.55 5.79430832924 0.95 U
58.957609451 53.5 44.8662316791 70.0 26.6943015983 28.2 4.60515303971 0.5 S
212.80924253 211.0 80.8673056111 95.5 12.8847116053 10.65 5.37492044031 0.85 U
55.3533703961 48.5 45.6641215315 47.0 26.2745309243 28.1 5.02813688842 0.75 S
191.654273801 185.0 73.191162839 47.5 13.0302293259 10.85 5.36938759618 0.6 U
77.8415566366 70.0 59.4035408338 55.0 25.6490271022 27.8 5.3571150974 1.2 T
211.377345379 203.0 82.9610732895 35.0 12.7525364837 10.85 5.22688320328 0.2 U
79.5889506602 73.0 35.7609876525 13.0 26.0994440584 27.7 4.61156126043 0.05 S
251.931897151 238.5 109.294097144 97.75 11.9512161223 10.95 4.14746842682 0.4 U
90.0090340514 62.0 114.811754508 28.0 25.2023974983 27.65 5.96168384251 0.9 S
397.611883252 280.5 354.925386835 203.25 12.2173036831 10.85 7.0314210483 1.9 V
107.984711605 79.0 113.069742275 19.5 23.7125781793 25.85 5.91659850153 2.55 T
197.529534399 209.0 57.6479815861 65.25 13.563342599 11.8 4.68232402977 0.6 U
66.7480889507 52.5 52.3302937804 22.0 24.9815149409 26.85 4.69032081101 0.575 T
237.587213343 247.0 81.1457019882 44.75 13.2769631689 11.95 4.41169664518 0.4 U
71.3311327311 59.5 46.8674514163 14.5 25.010180681 26.85 4.5816163118 0.35 S
372.030924253 250.5 302.450321415 179.25 11.8500347464 11.7 5.37026129645 2.0 U
79.0118137596 71.0 46.0442070805 24.0 24.8623349548 26.95 4.69092492147 0.925 T
272.467338429 265.0 136.349148571 95.5 12.3935371786 11.0 4.89175995164 0.5 U
45.0469075747 33.5 30.2989228868 48.25 27.3407922168 27.7 1.25779584195 1.0 T
